file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\matrixlib\defmatrix.py,39,1141,837,304,39,2009-10-02 19:31:52+00:00,2017-08-01 17:39:11+00:00,7.8,146.3
numpy\f2py\f2py2e.py,39,1895,437,1458,39,2006-01-04 19:00:27+00:00,2015-07-26 04:38:27+00:00,9.6,197.4
numpy\lib\financial.py,39,1433,1088,345,39,2008-04-04 06:11:24+00:00,2016-09-22 04:31:51+00:00,8.5,168.6
numpy\core\tests\test_memmap.py,38,442,321,121,38,2008-02-21 23:37:43+00:00,2017-07-17 20:36:24+00:00,9.4,47.0
numpy\core\tests\test_umath_complex.py,37,1432,985,447,37,2009-11-04 07:47:18+00:00,2017-08-01 20:29:36+00:00,7.7,186.0
numpy\polynomial\polytemplate.py,37,2582,1291,1291,37,2009-11-14 22:30:39+00:00,2014-05-06 15:35:52+00:00,4.5,573.8
numpy\core\include\numpy\npy_3kcompat.h,37,635,415,220,37,2010-07-17 13:10:39+00:00,2016-02-09 08:36:28+00:00,5.6,113.4
numpy\core\src\multiarray\na_mask.c,37,2354,1177,1177,37,2011-07-19 22:06:08+00:00,2012-05-11 13:31:50+00:00,0.8,2942.5
numpy\lib\nanfunctions.py,37,3054,2244,810,37,2013-06-21 02:44:54+00:00,2017-09-18 02:55:25+00:00,4.2,727.1
numpy\core\tests\test_shape_base.py,37,1295,930,365,37,2009-09-16 07:15:21+00:00,2017-08-11 01:01:06+00:00,7.9,163.9
numpy\version.py,36,133,47,86,36,2006-01-04 23:40:55+00:00,2009-03-27 11:15:36+00:00,3.2,41.6
numpy\core\src\multiarray\flagsobject.c,36,1026,631,395,36,2009-04-30 08:42:26+00:00,2013-08-18 17:16:06+00:00,4.3,238.6
numpy\f2py\capi_maps.py,36,3183,912,2271,36,2006-01-20 21:59:32+00:00,2017-06-03 12:41:26+00:00,11.4,279.2
numpy\core\tests\test_unicode.py,36,1684,738,946,36,2006-02-14 22:54:07+00:00,2017-07-17 20:36:24+00:00,11.4,147.7
numpy\polynomial\tests\test_polynomial.py,36,1411,990,421,36,2009-11-14 22:30:39+00:00,2017-07-18 01:25:17+00:00,7.7,183.2
numpy\distutils\command\build_clib.py,36,1073,476,597,36,2006-01-04 19:00:27+00:00,2017-08-06 23:09:32+00:00,11.6,92.5
doc\source\conf.py,35,383,246,137,35,2008-11-30 14:44:38+00:00,2017-08-13 16:09:08+00:00,8.7,44.0
numpy\core\src\private\lowlevel_strided_loops.h,35,922,679,243,35,2011-06-13 16:23:20+00:00,2017-05-09 09:16:14+00:00,5.9,156.3
numpy\distutils\npy_pkg_config.py,35,858,652,206,35,2009-07-26 11:07:42+00:00,2016-12-13 22:53:56+00:00,7.4,115.9
numpy\lib\__init__.py,35,471,246,225,35,2006-01-04 19:48:03+00:00,2017-07-04 19:47:45+00:00,11.5,41.0
numpy\lib\recfunctions.py,35,1750,1408,342,35,2009-01-22 05:40:25+00:00,2017-07-01 19:53:56+00:00,8.4,208.3
numpy\core\tests\test_defmatrix.py,34,852,369,483,34,2006-01-05 01:21:44+00:00,2009-07-12 22:36:33+00:00,3.5,243.4
numpy\doc\subclassing.py,34,1791,1274,517,34,2008-08-27 10:05:41+00:00,2017-06-10 03:56:14+00:00,8.8,203.5
scipy\base\matrix.py,34,943,507,436,34,2005-09-16 07:52:15+00:00,2005-12-30 01:59:33+00:00,0.3,1886.0
numpy\distutils\core.py,34,639,249,390,34,2006-01-04 19:00:27+00:00,2016-01-23 14:58:58+00:00,10.0,63.9
scipy_base\setup_scipy_base.py,33,548,283,265,33,2002-03-30 00:51:03+00:00,2005-03-24 09:38:31+00:00,3.0,182.7
numpy\core\tests\test_defchararray.py,33,1874,1290,584,33,2008-07-10 11:50:15+00:00,2017-07-29 14:54:58+00:00,9.1,205.9
numpy\core\src\multiarray\datetime_strings.c,33,2671,2131,540,33,2011-06-16 22:36:45+00:00,2017-04-05 00:22:19+00:00,5.8,460.5
numpy\core\code_generators\generate_ufunc_api.py,33,539,219,320,33,2006-01-04 19:00:27+00:00,2017-04-06 13:28:39+00:00,11.2,48.1
scipy_base\function_base.py,33,1487,773,714,33,2002-04-02 23:13:09+00:00,2005-08-02 15:30:51+00:00,3.3,450.6
